OG_name,Subject,Genotype,VRs,Probe_Mix,Red_Probe,Green_Probe,Image_Number,Total_Nuclei,Negative_Nuclei,Red_Positive_Nuclei,Green_Positive_Nuclei,Both_Positive,Percent_Red,Percent_Green,Percent_Both,Round
6755 KO 2R53_1,6755,KO,V2R,2r53,2r53,N/A,1,670,670,0,0,0,0.0000,0.0000,0.0000,1
6755 KO 2R53_2,6755,KO,V2R,2r53,2r53,N/A,2,637,637,0,0,0,0.0000,0.0000,0.0000,1
6755 KO 2R53_3,6755,KO,V2R,2r53,2r53,N/A,3,683,683,0,0,0,0.0000,0.0000,0.0000,1
6755 KO V1R_1,6755,KO,V1R,"1R202, 1R13",1r202,1r13,4,542,542,0,0,0,0.0000,0.0000,0.0000,1
6755 KO V1R_2,6755,KO,V1R,"1R202, 1R13",1r202,1r13,5,618,618,0,0,0,0.0000,0.0000,0.0000,1
6756 WT 2R53_1,6756,WT,V2R,2r53,2r53,N/A,6,599,599,0,0,0,0.0000,0.0000,0.0000,1
6756 WT 2R53_2,6756,WT,V2R,2r53,2r53,N/A,7,502,502,0,0,0,0.0000,0.0000,0.0000,1
6756 WT 2R53_3,6756,WT,V2R,2r53,2r53,N/A,8,628,625,3,0,0,0.0048,0.0000,0.0000,1
6756 WT V1R_1.1,6756,WT,V1R,"1R202, 1R13",1r202,1r13,9,546,530,14,2,0,0.0256,0.0037,0.0000,1
6756 WT V1R_2,6756,WT,V1R,"1R202, 1R13",1r202,1r13,10,530,512,18,0,0,0.0340,0.0000,0.0000,1
6756 WT V2R_1,6756,WT,V2R,"2r5, 2r89",2r5,2r89,11,527,526,0,1,0,0.0000,0.0019,0.0000,1
6757 WT 2R53,6757,WT,V2R,2r53,2r53,N/A,12,693,692,1,0,0,0.0014,0.0000,0.0000,1
6757 WT V1R_1,6757,WT,V1R,"1R202, 1R13",1r202,1r13,13,836,816,17,3,0,0.0203,0.0036,0.0000,1
6757 WT V1R_2,6757,WT,V1R,"1R202, 1R13",1r202,1r13,14,706,694,10,2,0,0.0142,0.0028,0.0000,1
6757 WT V2R_1,6757,WT,V2R,"2r5, 2r89",2r5,2r89,15,751,725,1,24,1,0.0013,0.0320,0.0013,1
6757 WT V2R_2,6757,WT,V2R,"2r5, 2r89",2r5,2r89,16,622,604,0,18,0,0.0000,0.0289,0.0000,1
6758 KO V2R_3,6758,KO,V2R,"2r5, 2r89",2r5,2r89,17,241,223,3,15,0,0.0124,0.0622,0.0000,1
6758 KO V2R_4,6758,KO,V2R,"2r5, 2r89",2r5,2r89,18,283,278,0,5,0,0.0000,0.0177,0.0000,1
6758 WT V1R_1,6758,KO,V1R,"1R202, 1R13",1r202,1r13,19,556,554,0,2,0,0.0000,0.0036,0.0000,1
6759 WT 2R53_1,6759,WT,V2R,2r53,2r53,N/A,20,550,550,0,0,0,0.0000,0.0000,0.0000,1
6759 WT V2R_1,6759,WT,V2R,"2r5, 2r89",2r5,2r89,21,346,326,12,7,1,0.0347,0.0202,0.0029,1
6761 KO V1R_1,6761,KO,V1R,"1R202, 1R13",1r202,1r13,22,600,600,0,0,0,0.0000,0.0000,0.0000,1
6761 KO V1R_2,6761,KO,V1R,"1R202, 1R13",1r202,1r13,23,314,311,3,0,0,0.0096,0.0000,0.0000,1
6761 KO V1R_3,6761,KO,V1R,"1R202, 1R13",1r202,1r13,24,770,762,4,4,0,0.0052,0.0052,0.0000,1
6761 KO V1R_4,6761,KO,V1R,"1R202, 1R13",1r202,1r13,25,361,356,3,2,0,0.0083,0.0055,0.0000,1
6761 KO V2R_1,6761,KO,V2R,"2r5, 2r89",2r5,2r89,26,471,461,0,10,0,0.0000,0.0212,0.0000,1
6755_2r53_Default_Three_Channel_RGB_Composite00001.tif,6755,KO,V2R,2r53,2r53,N/A,27,693,689,4,0,0,0.0058,0.0000,0.0000,2
6755_2r53_Default_Three_Channel_RGB_Composite00002.tif,6755,KO,V2R,2r53,2r53,N/A,28,340,338,2,0,0,0.0059,0.0000,0.0000,2
6755_2r53_Default_Three_Channel_RGB_Composite00003,6755,KO,V2R,2r53,2r53,N/A,29,504,499,5,0,0,0.0099,0.0000,0.0000,2
6755_2r53_Default_Three_Channel_RGB_Composite00004,6755,KO,V2R,2r53,2r53,N/A,30,435,435,0,0,0,0.0000,0.0000,0.0000,2
6755_2r53_Default_Three_Channel_RGB_Composite00005,6755,KO,V2R,2r53,2r53,N/A,31,221,221,0,0,0,0.0000,0.0000,0.0000,2
6755_2r53_Default_Three_Channel_RGB_Composite00006,6755,KO,V2R,2r53,2r53,N/A,32,439,439,0,0,0,0.0000,0.0000,0.0000,2
6755_2r53_Default_Three_Channel_RGB_Composite00007,6755,KO,V2R,2r53,2r53,N/A,33,392,392,0,0,0,0.0000,0.0000,0.0000,2
6756_2r53_Default_Three_Channel_RGB_Composite00003,6756,WT,V2R,2r53,2r53,N/A,34,254,249,5,0,0,0.0197,0.0000,0.0000,2
6756_2r53_Default_Three_Channel_RGB_Composite00004,6756,WT,V2R,2r53,2r53,N/A,35,471,463,8,0,0,0.0170,0.0000,0.0000,2
6756_2r53_Default_Three_Channel_RGB_Composite00005,6756,WT,V2R,2r53,2r53,N/A,36,394,391,3,0,0,0.0076,0.0000,0.0000,2
6756_2r53_Default_Three_Channel_RGB_Composite00006,6756,WT,V2R,2r53,2r53,N/A,37,589,568,21,0,0,0.0357,0.0000,0.0000,2
6756_2r53_Default_Three_Channel_RGB_Composite00007,6756,WT,V2R,2r53,2r53,N/A,38,300,293,7,0,0,0.0233,0.0000,0.0000,2
6757_2r53_Default_Three_Channel_RGB_Composite00001,6757,WT,V2R,2r53,2r53,N/A,39,176,167,9,0,0,0.0511,0.0000,0.0000,2
6757_2r53_Default_Three_Channel_RGB_Composite00002,6757,WT,V2R,2r53,2r53,N/A,40,278,271,7,0,0,0.0252,0.0000,0.0000,2
6757_2r53_Default_Three_Channel_RGB_Composite00003,6757,WT,V2R,2r53,2r53,N/A,41,242,233,9,0,0,0.0372,0.0000,0.0000,2
6757_2r53_Default_Three_Channel_RGB_Composite00004,6757,WT,V2R,2r53,2r53,N/A,42,314,307,7,0,0,0.0223,0.0000,0.0000,2
6758_2r53_Default_Three_Channel_RGB_Composite00001,6758,KO,V2R,2r53,2r53,N/A,43,614,613,0,1,0,0.0000,0.0016,0.0000,2
6758_2r53_Default_Three_Channel_RGB_Composite00002,6758,KO,V2R,2r53,2r53,N/A,44,509,509,0,0,0,0.0000,0.0000,0.0000,2
6759_2r53_Default_Three_Channel_RGB_Composite00001,6759,WT,V2R,2r53,2r53,N/A,45,278,275,3,0,0,0.0108,0.0000,0.0000,2
6759_2r53_Default_Three_Channel_RGB_Composite00002,6759,WT,V2R,2r53,2r53,N/A,46,394,394,0,0,0,0.0000,0.0000,0.0000,2
6761_2r53_Default_Three_Channel_RGB_Composite00001,6761,KO,V2R,2r53,2r53,N/A,47,683,677,6,0,0,0.0088,0.0000,0.0000,2
6761_2r53_Default_Three_Channel_RGB_Composite00002,6761,KO,V2R,2r53,2r53,N/A,48,678,675,3,0,0,0.0044,0.0000,0.0000,2
6761_2r53_Default_Three_Channel_RGB_Composite00003,6761,KO,V2R,2r53,2r53,N/A,49,764,758,6,0,0,0.0079,0.0000,0.0000,2
6755_V1R_Default_Three_Channel_RGB_Composite00001,6755,KO,V1R,"1R202, 1R13",1r202,1r13,50,515,509,0,6,0,0.0000,0.0117,0.0000,2
6756_V1R_Default_Three_Channel_RGB_Composite00001,6756,WT,V1R,"1R202, 1R13",1r202,1r13,51,524,517,7,0,0,0.0134,0.0000,0.0000,2
6756_V1R_Default_Three_Channel_RGB_Composite00002,6756,WT,V1R,"1R202, 1R13",1r202,1r13,52,937,916,13,8,0,0.0139,0.0085,0.0000,2
6756_V1R_Default_Three_Channel_RGB_Composite00003,6756,WT,V1R,"1R202, 1R13",1r202,1r13,53,488,466,21,1,0,0.0430,0.0020,0.0000,2
6757_V1R_Default_Three_Channel_RGB_Composite00001,6757,WT,V1R,"1R202, 1R13",1r202,1r13,54,350,348,2,0,0,0.0057,0.0000,0.0000,2
6757_V1R_Default_Three_Channel_RGB_Composite00002,6757,WT,V1R,"1R202, 1R13",1r202,1r13,55,302,297,5,0,0,0.0166,0.0000,0.0000,2
6757_V1R_Default_Three_Channel_RGB_Composite00003,6757,WT,V1R,"1R202, 1R13",1r202,1r13,56,335,328,5,2,0,0.0149,0.0060,0.0000,2
6757_V1R_Default_Three_Channel_RGB_Composite00004,6757,WT,V1R,"1R202, 1R13",1r202,1r13,57,377,366,8,3,0,0.0212,0.0080,0.0000,2
6758_V1R_Default_Three_Channel_RGB_Composite00001,6758,KO,V1R,"1R202, 1R13",1r202,1r13,58,570,555,2,13,0,0.0035,0.0228,0.0000,2
6758_V1R_Default_Three_Channel_RGB_Composite00002,6758,KO,V1R,"1R202, 1R13",1r202,1r13,59,635,625,10,0,0,0.0157,0.0000,0.0000,2
6758_V1R_Default_Three_Channel_RGB_Composite00003,6758,KO,V1R,"1R202, 1R13",1r202,1r13,60,531,531,0,0,0,0.0000,0.0000,0.0000,2
6759_V1R_Default_Three_Channel_RGB_Composite00002,6759,WT,V1R,"1R202, 1R13",1r202,1r13,61,732,715,12,5,0,0.0164,0.0068,0.0000,2
6759_V1R_Default_Three_Channel_RGB_Composite00003,6759,WT,V1R,"1R202, 1R13",1r202,1r13,62,593,588,5,0,0,0.0084,0.0000,0.0000,2
6761_V1R_Default_Three_Channel_RGB_Composite00001,6761,KO,V1R,"1R202, 1R13",1r202,1r13,63,816,807,9,0,0,0.0110,0.0000,0.0000,2
6761_V1R_Default_Three_Channel_RGB_Composite00002,6761,KO,V1R,"1R202, 1R13",1r202,1r13,64,770,764,6,0,0,0.0078,0.0000,0.0000,2
6761_V1R_Default_Three_Channel_RGB_Composite00003,6761,KO,V1R,"1R202, 1R13",1r202,1r13,65,813,810,3,0,0,0.0037,0.0000,0.0000,2
6761_V1R_Default_Three_Channel_RGB_Composite00004,6761,KO,V1R,"1R202, 1R13",1r202,1r13,66,575,575,0,0,0,0.0000,0.0000,0.0000,2
7472-KO-1r202-Default_Three_Channel_RGB_Composite00001,7472,KO,V1R,1R202,1r202,N/A,67,608,605,3,0,0,0.0049,0.0000,0.0000,3
7472-KO-1r202-Default_Three_Channel_RGB_Composite00002,7472,KO,V1R,1R202,1r202,N/A,68,471,469,2,0,0,0.0042,0.0000,0.0000,3
7472-KO-2r53-Default_Three_Channel_RGB_Composite00001,7472,KO,V2R,2r53,2r53,N/A,69,462,461,1,0,0,0.0022,0.0000,0.0000,3
7472-KO-2r53-Default_Three_Channel_RGB_Composite00002,7472,KO,V2R,2r53,2r53,N/A,70,555,542,13,0,0,0.0234,0.0000,0.0000,3
7472-KO-2r53-Default_Three_Channel_RGB_Composite00003,7472,KO,V2R,2r53,2r53,N/A,71,635,622,13,0,0,0.0205,0.0000,0.0000,3
7473-WT-1r202-Default_Three_Channel_RGB_Composite00001,7473,WT,V1R,1R202,1r202,N/A,72,702,698,4,0,0,0.0057,0.0000,0.0000,3
7473-WT-1r202-Default_Three_Channel_RGB_Composite00002,7473,WT,V1R,1R202,1r202,N/A,73,762,744,18,0,0,0.0236,0.0000,0.0000,3
7473-WT-1r202-Default_Three_Channel_RGB_Composite00003,7473,WT,V1R,1R202,1r202,N/A,74,591,586,5,0,0,0.0085,0.0000,0.0000,3
7473-WT-1r202-Default_Three_Channel_RGB_Composite00004,7473,WT,V2R,2r53,2r53,N/A,75,524,519,5,0,0,0.0095,0.0000,0.0000,3
7473-WT-2r53-Default_Three_Channel_RGB_Composite00001 - Copy,7473,WT,V2R,2r53,2r53,N/A,76,629,626,3,0,0,0.0048,0.0000,0.0000,3
7473-WT-2r53-Default_Three_Channel_RGB_Composite00002,7473,WT,V2R,2r53,2r53,N/A,77,800,795,5,0,0,0.0063,0.0000,0.0000,3
7473-WT-2r53-Default_Three_Channel_RGB_Composite00003,7473,WT,V2R,2r53,2r53,N/A,78,483,482,1,0,0,0.0021,0.0000,0.0000,3
7474-KO-1r202-Default_Three_Channel_RGB_Composite00001,7474,KO,V1R,1R202,1r202,N/A,79,493,493,0,0,0,0.0000,0.0000,0.0000,3
7474-KO-2r53-Default_Three_Channel_RGB_Composite00007,7474,KO,V2R,2r53,2r53,N/A,80,494,492,2,0,0,0.0040,0.0000,0.0000,3
7474-KO-Default_Three_Channel_RGB_Composite00001 (1),7474,KO,V2R,2r53,2r53,N/A,81,690,690,0,0,0,0.0000,0.0000,0.0000,3
7472-KO-2r53-Default_Three_Channel_RGB_Composite00001.tif,7472,KO,V2R,2r53,2r53,N/A,82,345,332,13,0,0,0.0377,0.0000,0.0000,4
7473-WT-2r53-Default_Three_Channel_RGB_Composite00001.tif,7473,WT,V2R,2r53,2r53,N/A,83,417,406,11,0,0,0.0264,0.0000,0.0000,4
7473-WT-2r53-Default_Three_Channel_RGB_Composite00002.tif,7473,WT,V2R,2r53,2r53,N/A,84,395,388,7,0,0,0.0177,0.0000,0.0000,4
