gene_name,gene_biotype,V1R_Subfamily
Vmn1r42,protein_coding,V1ra
Vmn1r43,protein_coding,V1ra
Vmn1r45,protein_coding,V1ra
Vmn1r47,protein_coding,V1ra
Vmn1r48,protein_coding,V1ra
Vmn1r51,protein_coding,V1ra
Vmn1r52,protein_coding,V1ra
Vmn1r54,protein_coding,V1ra
Vmn1r-ps33,,V1ra
V1ra11,unfound,V1ra
Vmn1r40,protein_coding,V1rb
Vmn1r41,protein_coding,V1rb
Vmn1r44,protein_coding,V1rb
Vmn1r46,protein_coding,V1rb
Vmn1r49,protein_coding,V1rb
Vmn1r50,protein_coding,V1rb
Vmn1r53,,V1rb
V1rb5,unfound,V1rb
V1rb6,unfound,V1rb
Vmn1r-ps239,,V1rb
Vmn1r4,protein_coding,V1rc
Vmn1r5,protein_coding,V1rc
Vmn1r6,protein_coding,V1rc
Vmn1r7,protein_coding,V1rc
Vmn1r8,protein_coding,V1rc
Vmn1r9,protein_coding,V1rc
Vmn1r10,protein_coding,V1rc
Vmn1r11,protein_coding,V1rc
Vmn1r13,protein_coding,V1rc
Vmn1r14,protein_coding,V1rc
Vmn1r15,protein_coding,V1rc
Vmn1r16,protein_coding,V1rc
Vmn1r17,protein_coding,V1rc
Vmn1r18,protein_coding,V1rc
Vmn1r19,protein_coding,V1rc
Vmn1r21,protein_coding,V1rc
Vmn1r22,protein_coding,V1rc
Vmn1r24,protein_coding,V1rc
Vmn1r26,protein_coding,V1rc
Vmn1r27,protein_coding,V1rc
Vmn1r28,protein_coding,V1rc
Vmn1r29,protein_coding,V1rc
Vmn1r30,protein_coding,V1rc
Vmn1r32,protein_coding,V1rc
Vmn1r33,protein_coding,V1rc
Vmn1r35,protein_coding,V1rc
Vmn1r36,protein_coding,V1rc
Vmn1r37,protein_coding,V1rc
Vmn1r38,protein_coding,V1rc
Vmn1r-ps8,,V1rc
Vmn1r25,,V1rc
Vmn1r23,,V1rc
Vmn1r171,protein_coding,V1rd
Vmn1r172,protein_coding,V1rd
Vmn1r174,protein_coding,V1rd
Vmn1r178,protein_coding,V1rd
Vmn1r179,protein_coding,V1rd
Vmn1r180,protein_coding,V1rd
Vmn1r181,protein_coding,V1rd
Vmn1r183,protein_coding,V1rd
Vmn1r55,protein_coding,V1rd
Vmn1r56,protein_coding,V1rd
Vmn1r58,protein_coding,V1rd
Vmn1r59,protein_coding,V1rd
Vmn1r61,protein_coding,V1rd
Vmn1r62,protein_coding,V1rd
Vmn1r65,protein_coding,V1rd
Vmn1r77,protein_coding,V1rd
Vmn1r63,,V1rd
Vmn1r64,,V1rd
Vmn1r148,,V1rd
V1rd18,unfound,V1rd
V1rd19,unfound,V1rd
Vmn1r93,,V1rd
Vmn1r185,protein_coding,V1re
Vmn1r225,protein_coding,V1re
Vmn1r226,protein_coding,V1re
Vmn1r227,protein_coding,V1re
Vmn1r228,protein_coding,V1re
Vmn1r229,protein_coding,V1re
Vmn1r230,protein_coding,V1re
Vmn1r231,protein_coding,V1re
Vmn1r232,protein_coding,V1re
Vmn1r66,protein_coding,V1re
Vmn1r67,protein_coding,V1re
Vmn1r69,protein_coding,V1re
Vmn1r71,protein_coding,V1re
Vmn1r233,protein_coding,V1rf
Vmn1r234,protein_coding,V1rf
Vmn1r235,protein_coding,V1rf
Vmn1r236,protein_coding,V1rf
Vmn1r237,protein_coding,V1rf
Vmn1r72,protein_coding,V1rg
Vmn1r73,protein_coding,V1rg
Vmn1r74,protein_coding,V1rg
Vmn1r75,protein_coding,V1rg
Vmn1r76,protein_coding,V1rg
Vmn1r78,protein_coding,V1rg
Vmn1r80,protein_coding,V1rg
Vmn1r81,protein_coding,V1rg
Vmn1r82,protein_coding,V1rg
Vmn1r83,protein_coding,V1rg
Vmn1r84,protein_coding,V1rg
Gm4741,,V1rg
Vmn1r-ps103,unprocessed_pseudogene,V1rh
Vmn1r188,protein_coding,V1rh
Vmn1r189,protein_coding,V1rh
Vmn1r191,protein_coding,V1rh
Vmn1r196,protein_coding,V1rh
Vmn1r197,protein_coding,V1rh
Vmn1r199,protein_coding,V1rh
Vmn1r200,protein_coding,V1rh
Vmn1r203,protein_coding,V1rh
Vmn1r206,protein_coding,V1rh
Vmn1r208,protein_coding,V1rh
Vmn1r210,protein_coding,V1rh
Vmn1r211,protein_coding,V1rh
Vmn1r212,protein_coding,V1rh
Vmn1r213,protein_coding,V1rh
Vmn1r214,protein_coding,V1rh
Vmn1r217,protein_coding,V1rh
Vmn1r219,protein_coding,V1rh
Vmn1r220,protein_coding,V1rh
Vmn1r222,protein_coding,V1rh
Vmn1r192,protein_coding,V1ri
Vmn1r193,protein_coding,V1ri
Vmn1r195,protein_coding,V1ri
Vmn1r198,protein_coding,V1ri
Vmn1r201,protein_coding,V1ri
Vmn1r202,protein_coding,V1ri
Vmn1r215,protein_coding,V1ri
Vmn1r216,protein_coding,V1ri
Vmn1r218,protein_coding,V1ri
Vmn1r190-ps,,V1ri
Vmn1r89,protein_coding,V1rj
V1rj1,unfound,V1rj
