gene_name,V2R_Family,V2R_Type
Vmn2r1,C1,C1
Vmn2r2,C2,C2
Vmn2r3,C2,C2
Vmn2r4,C2,C2
Vmn2r5,C2,C2
Vmn2r6,C2,C2
Vmn2r7,C2,C2
H2-M10.1,H2-Mv,
H2-M10.2,H2-Mv,
H2-M10.3,H2-Mv,
H2-M10.4,H2-Mv,
H2-M10.5,H2-Mv,
H2-M10.6,H2-Mv,
H2-M1,H2-Mv,
H2-M9,H2-Mv,
H2-M11,H2-Mv,
H2-M2,H2-Mv,
H2-M3,H2-Mv,
H2-M5,H2-Mv,
Vmn2r8,A1,C2
Vmn2r9,A1,C2
Vmn2r10,A1,C2
Vmn2r11,A1,C2
Vmn2r12,A1,C2
Vmn2r13,A1,C2
Vmn2r14,A1,C2
Vmn2r15,A1,C2
Vmn2r16,A1,C2
Vmn2r17,A1,C2
Vmn2r84,A1,C2
Vmn2r85,A1,C2
Vmn2r86,A1,C2
Vmn2r87,A1,C2
Vmn2r88,A1,C2
Vmn2r89,A1,C2
Vmn2r121,A1,C2
Vmn2r118,A2,C2
Vmn2r111,A3,C2
Vmn2r112,A3,C2
Vmn2r113,A3,C2
Vmn2r114,A3,C2
Vmn2r115,A3,C2
Vmn2r116,A3,C2
Vmn2r117,A3,C2
Vmn2r28,A4,C2
Vmn2r29,A4,C2
Vmn2r30,A4,C2
Vmn2r31,A4,C2
Vmn2r32,A4,C2
Vmn2r33,A4,C2
Vmn2r34,A4,C2
Vmn2r35,A4,C2
Vmn2r36,A4,C2
Vmn2r37,A4,C2
Vmn2r38,A4,C2
Vmn2r39,A4,C2
Vmn2r40,A4,C2
Vmn2r41,A4,C2
Vmn2r42,A4,C2
Vmn2r43,A4,C2
Vmn2r44,A4,C2
Vmn2r45,A4,C2
Vmn2r46,A4,C2
Vmn2r47,A4,C2
Vmn2r48,A4,C2
Vmn2r49,A4,C2
Vmn2r50,A4,C2
Vmn2r51,A4,C2
Vmn2r52,A4,C2
Vmn2r65,A5,C1
Vmn2r66,A5,C2
Vmn2r67,A5,C2
Vmn2r68,A5,C2
Vmn2r69,A5,C2
Vmn2r70,A5,C2
Vmn2r71,A5,C2
Vmn2r72,A5,C2
Vmn2r73,A5,C2
Vmn2r74,A5,C2
Vmn2r75,A5,C2
Vmn2r76,A5,C2
Vmn2r77,A5,C2
Vmn2r78,A5,C2
Vmn2r79,A5,C2
Vmn2r120,A6,C1
Vmn2r57,A8a,C1
Vmn2r58,A8a,C1
Vmn2r59,A8a,C1
Vmn2r60,A8a,C1
Vmn2r61,A8a,C1
Vmn2r62,A8a,C1
Vmn2r63,A8a,C1
Vmn2r90,A8b,C1
Vmn2r91,A8b,C1
Vmn2r92,A8b,C1
Vmn2r93,A8b,C1
Vmn2r94,A8b,C1
Vmn2r95,A8b,C1
Vmn2r96,A8b,C1
Vmn2r97,A8b,C1
Vmn2r98,A8b,C1
Vmn2r99,A8b,C1
Vmn2r100,A8b,C1
Vmn2r101,A8b,C1
Vmn2r102,A8b,C1
Vmn2r103,A8b,C1
Vmn2r104,A8b,C1
Vmn2r105,A8b,C1
Vmn2r106,A8b,C1
Vmn2r107,A8b,C1
Vmn2r108,A8b,C1
Vmn2r109,A8b,C1
Vmn2r110,A8b,C1
Vmn2r80,A9,C1
Vmn2r81,A9,C1
Vmn2r82,A9,C1
Vmn2r83,A9,C1
Vmn2r18,A10,C1
Vmn2r19,B,C1
Vmn2r20,B,C1
Vmn2r21,B,C1
Vmn2r22,B,C1
Vmn2r23,B,C1
Vmn2r24,B,C1
Vmn2r25,B,C1
Vmn2r26,B,C1
Vmn2r27,B,C1
Vmn2r53,D,C1
Vmn2r54,D,C1
Vmn2r55,D,C1
Vmn2r56,D,C1
