Resident_Male,Genotype,Trials_List,Total_Time,Attack_Latency,Rearing,Lateral_Threat,Clinch_Attack,Upright_Posture,Keep_Down,Chase,Move_Toward,Ano-genital_Sniffing,Social_Exploration,Non_social_explore,Rest/Inactivity
KO_Res1,KO,Day_1_Trial,631,0,51,0,0,2,0,0,47,220,105,196,10
KO_Res1,KO,Day_2_Trial,608,0,89,0,0,0,0,0,40,171,131,168,9
KO_Res1,KO,Day_3_Trial,611,0,28,0,0,0,0,0,29,107,276,102,69
KO_Res2,KO,Day_1_Trial,600,0,97,0,0,0,0,0,32,189,34,240,0
KO_Res2,KO,Day_2_Trial,600,0,95,0,0,0,0,0,19,94,68,304,20
KO_Res2,KO,Day_3_Trial,600,0,109,0,0,0,0,0,15,122,90,264,0
KO_Res3,KO,Day_1_Trial,600,0,41,0,0,0,0,0,28,205,123,197,6
KO_Res3,KO,Day_2_Trial,600,0,39,10,0,5,0,0,35,207,196,87,21
KO_Res3,KO,Day_3_Trial,600,0,25,48,55,38,26,15,41,127,77,143,5
WT_Res1,WT,Day_1_Trial,600,442,26,5,10,5,14,8,18,218,170,116,10
WT_Res1,WT,Day_2_Trial,600,0,27,0,0,24,0,0,37,248,133,125,6
WT_Res1,WT,Day_3_Trial,600,534,62,12,41,15,15,0,45,118,126,166,0
KO_Res4,KO,Day_1_Trial,600,0,87,0,62,32,44,24,5,140,101,105,0
KO_Res4,KO,Day_2_Trial,600,0,67,0,0,0,0,0,42,164,202,105,20
KO_Res4,KO,Day_3_Trial,600,0,94,0,0,2,0,0,14,127,122,231,10
WT_Res2,WT,Day_1_Trial,600,0,72,0,0,20,0,5,46,88,101,256,12
WT_Res2,WT,Day_2_Trial,600,0,66,0,0,0,0,0,25,195,76,228,10
WT_Res2,WT,Day_3_Trial,600,152,69,13,21,15,17,3,23,87,61,253,38
WT_Res3,WT,Day_1_Trial,600,0,78,0,0,3,0,0,33,138,73,239,36
WT_Res3,WT,Day_2_Trial,600,221,54,6,36,4,16,36,64,101,36,223,24
WT_Res3,WT,Day_3_Trial,600,0,104,0,0,17,0,0,15,65,113,246,30
KO_Res5,KO,Day_1_Trial,600,0,84,0,0,0,10,0,46,161,134,165,0
KO_Res5,KO,Day_2_Trial,600,0,56,0,0,0,0,0,21,144,148,117,14
KO_Res5,KO,Day_3_Trial,600,0,49,0,0,5,0,0,25,172,215,124,10
KO_Res6,KO,Day_1_Trial,600,0,41,11,51,5,9,0,44,52,135,223,29
KO_Res6,KO,Day_2_Trial,600,0,81,0,0,0,0,0,39,106,86,259,29
KO_Res6,KO,Day_3_Trial,600,0,77,0,0,0,0,0,24,112,156,231,0
Het_Res1,HET,Day_1_Trial,600,283,41,0,73,5,7,0,16,131,29,271,27
Het_Res1,HET,Day_2_Trial,600,192,59,9,14,24,22,12,34,154,63,197,12
Het_Res1,HET,Day_3_Trial,600,163,54,5,96,0,12,5,42,47,28,286,25
WT_Res4,WT,Day_1_Trial,600,0,48,0,0,0,0,0,14,82,118,318,20
WT_Res4,WT,Day_2_Trial,600,0,52,0,0,0,0,0,24,88,68,349,19
WT_Res4,WT,Day_3_Trial,600,0,41,0,0,0,0,0,19,77,169,284,10
KO_Res7,KO,Day_1_Trial,600,0,58,0,0,0,0,0,28,202,93,219,0
KO_Res7,KO,Day_2_Trial,600,0,58,0,0,18,0,0,39,226,122,137,0
KO_Res7,KO,Day_3_Trial,600,0,46,0,0,0,0,0,15,115,245,179,0
KO_Res8,KO,Day_1_Trial,600,0,42,0,0,18,0,0,37,247,83,161,12
KO_Res8,KO,Day_2_Trial,600,0,52,0,0,14,0,0,36,266,109,105,18
KO_Res8,KO,Day_3_Trial,600,0,35,0,0,19,0,0,29,203,101,208,5
R18,WT,Day_1_Trial,600,333,0,0,30,5,23,18,55,68,89,287,25
R18,WT,Day_2_Trial,600,130,3,0,62,2,0,47,16,12,78,360,20
R18,WT,Day_3_Trial,600,50,2,0,40,3,6,59,21,28,89,340,12
