seqnames,start,end,width,strand,gene_id,gene_name,gene_biotype,score,cluster_name
chr1,182157178,182158098,921,-,ENSMUSG00000091013,Vmn1r1,protein_coding,0,chr1_cluster_1
chr2,174591198,174591909,712,+,ENSMUSG00000082353,Vmn1r-ps1,processed_pseudogene,0,chr2_cluster_3
chr4,3103756,3104634,879,-,ENSMUSG00000081279,Vmn1r-ps2,unprocessed_pseudogene,0,chr4_cluster_1
chr4,3139127,3140087,961,-,ENSMUSG00000083742,Vmn1r-ps3,unprocessed_pseudogene,0,chr4_cluster_1
chr4,3167320,3173006,5687,+,ENSMUSG00000115072,Vmn1r2,protein_coding,0,chr4_cluster_1
chr4,3184348,3185305,958,-,ENSMUSG00000115466,Vmn1r3,protein_coding,0,chr4_cluster_1
chr6,3072237,3073115,879,-,ENSMUSG00000106974,Vmn1r-ps5,processed_pseudogene,0,chr6_cluster_1
chr6,3107477,3112864,5388,-,ENSMUSG00000107380,Vmn1r-ps6,transcribed_processed_pseudogene,0,chr6_cluster_1
chr6,3143627,3144597,971,-,ENSMUSG00000106893,Vmn1r261,polymorphic_pseudogene,0,chr6_cluster_1
chr6,56956513,56960882,4370,+,ENSMUSG00000071893,Vmn1r4,protein_coding,0,chr6_cluster_3
chr6,56970273,56992950,22678,+,ENSMUSG00000090346,Vmn1r5,protein_coding,0,chr6_cluster_3
chr6,56997243,57009825,12583,+,ENSMUSG00000115701,Vmn1r6,protein_coding,0,chr6_cluster_3
chr6,57024106,57025324,1219,-,ENSMUSG00000093696,Vmn1r7,protein_coding,0,chr6_cluster_3
chr6,57032284,57037391,5108,+,ENSMUSG00000061208,Vmn1r8,protein_coding,0,chr6_cluster_3
chr6,57066787,57074925,8139,+,ENSMUSG00000091541,Vmn1r9,protein_coding,0,chr6_cluster_3
chr6,57109454,57115035,5582,+,ENSMUSG00000115181,Vmn1r10,protein_coding,0,chr6_cluster_3
chr6,57133455,57139617,6163,+,ENSMUSG00000115236,Vmn1r11,protein_coding,0,chr6_cluster_3
chr6,57156919,57165329,8411,+,ENSMUSG00000057981,Vmn1r12,protein_coding,0,chr6_cluster_3
chr6,57188507,57191898,3392,+,ENSMUSG00000093728,Vmn1r-ps8,unprocessed_pseudogene,0,chr6_cluster_3
chr6,57203290,57216048,12759,+,ENSMUSG00000064259,Vmn1r13,protein_coding,0,chr6_cluster_3
chr6,57231686,57240885,9200,+,ENSMUSG00000114982,Vmn1r14,protein_coding,0,chr6_cluster_3
chr6,57257952,57259972,2021,+,ENSMUSG00000115199,Vmn1r15,protein_coding,0,chr6_cluster_3
chr6,57278022,57278656,635,+,ENSMUSG00000093520,Vmn1r-ps9,unprocessed_pseudogene,0,chr6_cluster_3
chr6,57312923,57313850,928,+,ENSMUSG00000093621,Vmn1r-ps10,unprocessed_pseudogene,0,chr6_cluster_3
chr6,57318052,57329494,11443,-,ENSMUSG00000115792,Vmn1r16,protein_coding,0,chr6_cluster_3
chr6,57359239,57363727,4489,-,ENSMUSG00000115644,Vmn1r17,protein_coding,0,chr6_cluster_3
chr6,57376660,57395783,19124,-,ENSMUSG00000091382,Vmn1r18,protein_coding,0,chr6_cluster_3
chr6,57403780,57406034,2255,+,ENSMUSG00000115799,Vmn1r19,protein_coding,0,chr6_cluster_3
chr6,57428930,57435261,6332,+,ENSMUSG00000115253,Vmn1r20,protein_coding,0,chr6_cluster_3
chr6,57447349,57448215,867,-,ENSMUSG00000093398,Vmn1r-ps11,unprocessed_pseudogene,0,chr6_cluster_3
chr6,57843564,57850343,6780,-,ENSMUSG00000115343,Vmn1r21,protein_coding,0,chr6_cluster_4
